what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1524594998155
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524595000351
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524595000670
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524595000670
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.close",1524595000680
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595001623
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595006390
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1524595007276
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1524595007439
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595008031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595049192
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595050654
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595052548
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1524595055655
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1524595055925
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595087515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595445050
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1524595460588
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1524595461718
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1524595462049
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1524595462962
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1524595464034
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595466803
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595467314
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524595477184
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595506450
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595543116
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1524595552839
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524595562343
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1524595565466
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1524595565466
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595566601
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595567892
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1524595568686
